id,exist_nonexist,religion
693,No,No
694,No,No
695,No,No
696,No,No
697,No,No
698,No,No
699,No,No
700,Yes,Christian
701,No,No
702,No,No
703,No,No
704,No,No
705,No,No
706,Yes,Buddism
707,No,No
708,No,No
709,No,No
710,No,No
711,No,No
712,No,No
713,No,No
714,No,No
715,Yes,Buddism
716,Yes,Christian
717,Yes,Catholic
718,Yes,Christian
719,No,No
720,No,No
721,No,No
722,Yes,Christian
723,No,No
724,No,No
725,No,No
726,No,No
727,Yes,Buddism
728,No,No
729,No,No
730,No,No
731,No,No
732,No,No
733,Yes,Christian
734,No,No
735,No,No
736,No,No
737,No,No
738,No,No
739,No,No
740,Yes,Buddism
741,Yes,Buddism
742,Yes,Christian
743,Yes,Christian
744,No,No
745,Yes,Christian
746,No,No
747,Yes,Buddism
748,Yes,Christian
749,Yes,Catholic
750,Yes,Buddism
751,No,No
752,No,No
753,No,No
754,No,No
755,No,No
756,No,No
757,No,No
758,No,No
759,Yes,Buddism
760,Yes,Christian
761,Yes,Buddism
762,No,No
763,No,No
764,No,No
765,No,No
766,No,No
767,No,No
768,No,No
769,No,No
770,No,No
771,No,No
772,No,No
773,No,No
774,No,No
775,No,No
776,No,No
777,No,No
778,No,No
779,No,No
780,No,No
781,No,No
782,No,No
783,Yes,Catholic
784,No,No
785,No,No
786,No,No
787,Yes,Buddism
788,No,No
789,No,No
790,Yes,Catholic
791,Yes,Buddism
792,No,No
793,No,No
794,No,No
795,No,No
796,No,No
797,No,No
798,No,No
799,No,No
800,No,No
801,No,No
802,No,No
803,No,No
804,No,No
805,No,No
806,Yes,Etc
807,No,No
808,No,No
809,No,No
810,No,No
811,No,No
812,No,No
813,No,No
814,No,No
815,No,No
816,No,No
817,No,No
818,No,No
819,No,No
820,No,No
821,No,No
822,No,No
823,No,No
824,No,No
825,No,No
826,No,No
827,No,No
828,No,No
829,No,No
830,No,No
831,No,No
832,No,No
833,No,No
834,No,No
835,No,No
836,No,No
837,No,No
838,No,No
839,No,No
840,No,No
841,No,No
842,No,No
843,No,No
844,No,No
845,No,No
846,No,No
847,No,No
848,No,No
849,No,No
850,No,No
851,No,No
852,No,No
853,No,No
854,No,No
855,No,No
856,No,No
857,No,No
858,No,No
859,No,No
860,No,No
861,Yes,Buddism
862,No,No
863,No,No
864,No,No
865,Yes,Buddism
866,No,No
867,No,No
868,No,No
869,No,No
870,No,No
871,No,No
872,No,No
873,No,No
874,No,No
875,No,No
876,Yes,Catholic
877,No,No
878,Yes,Christian
879,No,No
880,No,No
881,No,No
882,No,No
883,No,No
884,No,No
885,No,No
886,No,No
887,No,No
888,No,No
889,No,No
890,No,No
891,No,No
892,No,No
893,No,No
894,No,No
895,No,No
896,No,No
897,No,No
898,No,No
899,No,No
900,No,No
901,No,No
902,No,No
903,No,No
904,No,No
905,No,No
906,No,No
907,No,No
908,No,No
909,No,No
910,No,No
911,No,No
912,No,No
913,No,No
914,No,No
915,No,No
916,No,No
917,No,No
918,No,No
919,No,No
920,No,No
921,No,No
922,No,No
923,No,No
924,No,No
925,No,No
926,No,No
927,No,No
928,No,No
929,No,No
930,No,No
931,No,No
932,No,No
933,No,No
934,No,No
935,No,No
936,No,No
937,No,No
938,No,No
939,No,No
940,No,No
941,No,No
942,No,No
943,No,No
944,No,No
945,No,No
946,No,No
947,No,No
948,No,No
949,No,No
950,No,No
951,No,No
952,No,No
953,No,No
954,No,No
955,No,No
956,No,No
957,No,No
958,No,No
959,No,No
960,No,No
961,No,No
962,No,No
963,No,No
964,No,No
965,No,No
966,No,No
967,No,No
968,No,No
969,No,No
970,No,No
971,No,No
972,No,No
973,No,No
974,No,No
975,No,No
976,No,No
977,No,No
978,No,No
979,No,No
980,No,No
981,No,No
982,No,No
983,No,No
984,No,No
985,No,No
986,No,No
987,No,No
988,Yes,Christian
989,No,No
990,No,No
991,No,No
992,No,No
993,No,No
994,No,No
995,No,No
996,No,No
997,No,No
998,No,No
999,No,No
1000,No,No
1001,No,No
1002,No,No
1003,No,No
1004,No,No
1005,No,No
1006,No,No
1007,No,No
1008,No,No
1009,No,No
1010,No,No
1011,No,No
1012,No,No
1013,No,No
1014,No,No
1015,No,No
1016,No,No
1017,No,No
1018,No,No
1019,No,No
1020,No,No
1021,No,No
1022,No,No
1023,No,No
1024,No,No
1025,No,No
1026,No,No
1027,No,No
1028,No,No
1029,No,No
1030,No,No
1031,No,No
1032,No,No
1033,No,No
1034,No,No
1035,No,No
1036,No,No
1037,No,No
1038,No,No
1039,No,No
1040,No,No
1041,No,No
1042,No,No
1043,No,No
1044,No,No
1045,No,No
1046,Yes,Buddism
1047,No,No
1048,No,No
1049,No,No
1050,No,No
1051,No,No
1052,No,No
1053,No,No
1054,No,No
1055,No,No
1056,No,No
1057,No,No
1058,No,No
1059,No,No
1060,No,No
1061,No,No
1062,No,No
1063,No,No
1064,No,No
1065,Yes,Buddism
1066,Yes,Etc
1067,Yes,Buddism
1068,No,No
1069,Yes,Buddism
1070,No,No
1071,No,No
1072,No,No
1073,No,No
1074,No,No
1075,Yes,Etc
1076,No,No
1077,Yes,Etc
1078,No,No
1079,No,No
1080,No,No
1081,No,No
1082,No,No
1083,No,No
1084,No,No
1085,No,No
1086,No,No
1087,No,No
1088,Yes,Etc
1089,No,No
1090,Yes,Etc
1091,Yes,Etc
1092,Yes,Etc
1093,No,No
1094,Yes,Etc
1095,No,No
1096,No,No
1097,No,No
1098,Yes,Buddism
1099,Yes,Etc
1100,Yes,Etc
1101,Yes,Etc
1102,Yes,Etc
1103,Yes,Christian
1104,Yes,Etc
1105,Yes,Buddism
1106,Yes,Etc
1107,Yes,Etc
1108,Yes,Etc
1109,Yes,Buddism
1110,Yes,Etc
1111,Yes,Buddism
1112,No,No
1113,No,No
1114,Yes,Etc
1115,No,No
1116,No,No
1117,No,No
1118,No,No
1119,No,No
1120,No,No
1121,No,No
1122,Yes,Etc
1123,No,No
1124,Yes,Etc
1125,Yes,Etc
1126,Yes,Etc
1127,Yes,Christian
1128,Yes,Buddism
1129,Yes,Buddism
1130,Yes,Buddism
1131,No,No
1132,Yes,Etc
1133,No,No
1134,No,No
1135,Yes,Buddism
1136,No,No
1137,Yes,Etc
1138,No,No
1139,Yes,Etc
1140,Yes,Buddism
1141,Yes,Buddism
1142,No,No
1143,No,No
1144,No,No
1145,Yes,Christian
1146,No,No
1147,Yes,Buddism
1148,No,No
1149,Yes,Buddism
1150,Yes,Etc
1151,Yes,Etc
1152,No,No
1153,Yes,Buddism
1154,Yes,Etc
1155,Yes,Etc
1156,No,No
1157,Yes,Christian
1158,Yes,Etc
1159,No,No
1160,Yes,Etc
1161,No,No
1162,No,No
1163,No,No
1164,Yes,Buddism
1165,No,No
1166,No,No
1167,No,No
1168,No,No
1169,No,No
1170,Yes,Etc
1171,Yes,Buddism
1172,Yes,Etc
1173,No,No
1174,No,No
1175,No,No
1176,No,No
1177,No,No
1178,No,No
1179,No,No
1180,No,No
1181,Yes,Catholic
1182,No,No
1183,No,No
1184,No,No
1185,Yes,Etc
1186,No,No
1187,No,No
1188,No,No
1189,No,No
1190,No,No
1191,No,No
1192,No,No
1193,No,No
1194,No,No
1195,No,No
1196,No,No
1197,No,No
1198,No,No
1199,No,No
1200,No,No
1201,No,No
1202,No,No
1203,No,No
1204,No,No
1205,No,No
1206,No,No
1207,No,No
1208,Yes,Buddism
1209,No,No
1210,No,No
1211,No,No
1212,No,No
1213,No,No
1214,No,No
1215,No,No
1216,No,No
1217,No,No
1218,No,No
1219,No,No
1220,Yes,Christian
1221,No,No
1222,No,No
1223,No,No
1224,No,No
1225,No,No
1226,No,No
1227,No,No
1228,No,No
1229,No,No
1230,No,No
1231,No,No
1232,No,No
1233,No,No
1234,No,No
1235,No,No
1236,No,No
1237,No,No
1238,No,No
1239,No,No
1240,No,No
1241,No,No
1242,No,No
1243,No,No
1244,No,No
1245,No,No
1246,No,No
1247,No,No
1248,No,No
1249,No,No
1250,No,No
1251,No,No
1252,No,No
1253,No,No
1254,Yes,Catholic
1255,No,No
1256,No,No
1257,No,No
1258,No,No
1259,No,No
1260,No,No
1261,No,No
1262,No,No
1263,No,No
1264,No,No
1265,No,No
1266,No,No
1267,No,No
1268,No,No
1269,No,No
1270,No,No
1271,No,No
1272,No,No
1273,No,No
1274,No,No
1275,No,No
1276,No,No
1277,No,No
1278,No,No
1279,No,No
1280,No,No
1281,No,No
1282,No,No
1283,No,No
1284,No,No
1285,No,No
