id,age
951,37
952,25
953,29
954,33
955,34
956,26
957,26
958,33
959,36
960,38
961,43
962,42
963,30
964,28
965,27
966,30
967,30
968,40
969,30
970,27
971,29
972,20
973,56
974,31
975,36
976,24
977,27
978,25
979,28
980,29
981,41
982,27
983,27
984,30
985,31
986,32
987,36
988,62
989,25
990,28
991,51
992,29
993,29
994,26
995,24
996,28
997,32
998,24
999,33
1000,33
1001,35
1002,23
1003,27
1004,39
1005,30
1006,35
1007,29
1008,30
1009,37
1010,35
1011,34
1012,27
1013,34
1014,39
1015,31
1016,24
1017,34
1018,28
1019,32
1020,22
1021,22
1022,32
1023,35
1024,34
1025,39
1026,36
1027,33
1028,33
1029,31
1030,29
1031,32
1032,38
1033,65
1034,22
1035,33
1036,31
1037,25
1038,28
1039,51
1040,56
1041,49
1042,47
1043,32
1044,22
1045,38
1046,50
1047,34
1048,35
1049,64
1050,25
1051,26
1052,36
1053,27
1054,50
1055,44
1056,52
1057,45
1058,44
1059,61
1060,31
1061,47
1062,30
1063,40
1064,45
1065,37
1066,33
1067,35
1068,31
1069,28
1070,49
1071,43
1072,24
1073,23
1074,37
1075,34
1076,41
1077,42
1078,33
1079,19
1080,30
1081,44
1082,60
1083,45
1084,39
1085,45
1086,23
1087,36
1088,28
1089,52
1090,28
1091,27
1092,31
1093,42
1094,46
1095,57
1096,25
1097,63
1098,36
1099,36
1100,26
1101,21
1102,22
1103,39
1104,25
1105,44
1106,37
1107,42
1108,33
1109,32
1110,28
1111,35
1112,31
1113,51
1114,32
1115,29
1116,56
1117,36
1118,37
1119,37
1120,40
1121,62
1122,50
1123,46
1124,53
1125,20
1126,24
1127,35
1128,30
1129,43
1130,49
1131,51
1132,52
1133,58
1134,49
1135,61
1136,40
1137,39
1138,19
1139,29
1140,37
1141,32
1142,55
1143,34
1144,38
1145,58
1146,47
1147,55
1148,45
1149,34
1150,20
1151,22
1152,63
1153,35
1154,29
1155,28
1156,31
1157,46
1158,33
1159,32
1160,37
1161,41
1162,30
1163,27
1164,32
1165,37
1166,57
1167,58
1168,39
1169,40
1170,24
1171,41
1172,39
1173,35
1174,33
1175,47
1176,39
1177,57
1178,23
1179,51
1180,27
1181,40
1182,27
1183,24
1184,35
1185,23
1186,36
1187,34
1188,34
1189,37
1190,40
1191,37
1192,36
1193,47
1194,65
1195,38
1196,35
1197,23
1198,20
1199,19
1200,28
1201,61
1202,50
1203,42
1204,50
1205,43
1206,26
1207,25
1208,33
1209,45
1210,37
1211,19
1212,31
1213,31
1214,36
1215,32
1216,19
1217,50
1218,19
1219,19
1220,43
1221,29
1222,42
1223,31
1224,19
1225,19
1226,19
1227,23
1228,45
1229,49
1230,49
1231,31
1232,28
1233,50
1234,25
1235,26
1236,30
1237,64
1238,53
1239,46
1240,31
1241,33
1242,31
1243,36
1244,47
1245,59
1246,59
1247,56
1248,55
1249,55
1250,47
1251,45
1252,45
1253,31
1254,56
1255,32
1256,36
1257,33
1258,65
1259,51
1260,43
1261,51
1262,32
1263,58
1264,52
1265,48
1266,34
1267,28
1268,27
1269,39
1270,56
1271,47
1272,40
1273,24
1274,52
1275,35
1276,41
1277,39
1278,58
1279,55
1280,37
1281,56
1282,33
1283,54
1284,47
1285,39
1286,56
1287,52
1288,51
1289,32
1290,44
1291,31
1292,31
1293,41
1294,34
1295,30
1296,30
1297,37
1298,31
1299,25
1300,24
1301,23
1302,25
1303,23
1304,29
1305,36
1306,38
1307,46
1308,59
1309,52
1310,27
1311,61
1312,48
1313,31
1314,26
1315,34
1316,34
1317,29
1318,58
1319,36
1320,29
1321,58
1322,38
1323,28
1324,42
1325,38
1326,53
1327,50
1328,39
1329,38
1330,64
1331,39
1332,31
1333,29
1334,29
1335,34
1336,66
1337,60
1338,28
1339,61
1340,45
1341,27
1342,63
1343,36
1344,42
1345,42
1346,29
1347,31
1348,29
1349,33
1350,48
1351,29
1352,50
1353,36
1354,25
1355,39
1356,23
1357,47
1358,36
1359,55
1360,35
1361,32
1362,30
1363,40
1364,48
1365,29
1366,25
1367,41
1368,24
1369,22
1370,22
1371,24
1372,18
1373,22
1374,103
1375,47
1376,46
1377,45
1378,34
1379,25
1380,29
1381,105
1382,58
1383,50
1384,46
1385,47
1386,48
1387,40
1388,38
1389,38
1390,31
1391,24
1392,26
1393,27
1394,28
1395,31
1396,30
1397,22
1398,34
1399,43
1400,25
1401,47
1402,27
1403,28
1404,22
1405,24
1406,23
1407,21
1408,21
1409,21
1410,21
1411,24
1412,23
1413,22
1414,20
1415,23
1416,21
1417,22
1418,21
1419,23
1420,21
1421,21
1422,24
1423,21
1424,21
1425,20
1426,23
1427,23
1428,25
1429,24
1430,22
1431,29
1432,23
1433,24
1434,23
1435,23
1436,23
1437,58
1438,56
1439,36
1440,49
1441,36
1442,38
1443,39
1444,52
1445,36
1446,55
1447,47
1448,50
1449,47
1450,43
1451,42
1452,38
1453,49
1454,46
1455,56
1456,54
1457,31
1458,32
1459,31
1460,54
1461,57
1462,57
1463,45
1464,30
1465,40
1466,38
1467,32
1468,31
1469,18
1470,50
1471,24
1472,25
1473,49
1474,19
1475,45
1476,45
1477,59
1478,30
1479,44
1480,49
1481,38
1482,33
1483,35
1484,31
1485,37
1486,50
1487,25
1488,50
1489,31
1490,31
1491,30
1492,24
1493,30
