직원id,입사일,퇴사일,근속연수(연),근속연수(월),근속연수(일)
1278,2016-02-26,2017-02-25,0,11,365
1279,2016-02-26,2016-10-19,0,7,236
1280,2016-03-02,2016-04-26,0,1,55
1281,2016-03-03,2017-04-28,1,13,421
1282,2016-03-10,2018-03-12,2,24,732
1283,2016-03-26,//,3,40,1222
1284,2016-05-11,//,3,38,1176
1285,2016-06-01,//,3,37,1155
1286,2016-06-01,2016-07-31,0,1,60
1287,2016-06-01,2016-07-31,0,1,60
1288,2016-06-01,2016-07-31,0,1,60
1289,2016-06-01,2016-06-30,0,0,29
1290,2016-06-15,2016-07-31,0,1,46
1291,2016-09-05,2016-10-27,0,1,52
1292,2016-09-05,2017-10-27,1,13,417
1293,2016-09-05,2016-10-25,0,1,50
1294,2016-09-05,2016-10-25,0,1,50
1295,2016-09-05,//,3,34,1059
1296,2016-09-05,//,3,34,1059
1297,2016-09-05,//,3,34,1059
1298,2016-09-05,//,3,34,1059
1299,2016-09-05,2016-12-20,0,3,106
1300,2016-09-05,2016-10-17,0,1,42
1301,2016-09-05,2016-11-25,0,2,81
1302,2016-09-05,2018-07-08,1,22,671
1303,2016-09-05,2016-11-25,0,2,81
1304,2016-09-05,2017-09-22,1,12,382
1305,2016-10-20,//,3,33,1014
1306,2016-10-24,//,3,33,1010
1307,2016-12-20,//,3,31,953
1308,2017-01-01,2018-11-30,1,22,698
1309,2017-01-01,//,2,30,941
1310,2017-01-02,//,2,30,940
1311,2017-01-09,2017-05-31,0,4,142
1312,2017-01-16,//,2,30,926
1313,2017-01-21,//,2,30,921
1314,2017-02-01,2017-07-31,0,5,180
1315,2017-02-21,2017-07-03,0,4,132
1316,2017-02-21,//,2,29,890
1317,2017-02-21,2017-08-23,0,6,183
1318,2017-03-20,//,2,28,863
1319,2017-03-21,2018-03-20,0,11,364
1320,2017-03-21,//,2,28,862
1321,2017-07-10,//,2,24,751
1322,2017-07-17,2019-04-26,1,21,648
1323,2017-08-07,//,2,23,723
1324,2017-08-16,//,2,23,714
1325,2017-08-16,//,2,23,714
1326,2017-12-01,//,2,19,607
1327,2017-12-11,//,2,19,597
1328,2017-12-18,2019-05-03,1,16,501
1329,2017-12-18,2019-03-26,1,15,463
1330,2018-01-02,//,1,18,575
1331,2018-01-02,2019-01-01,0,11,364
1332,2018-01-02,//,1,18,575
1333,2018-01-02,2019-07-31,1,18,575
1334,2018-01-02,2019-06-30,1,17,544
1335,2018-01-15,//,1,18,562
1336,2018-01-18,2019-01-17,0,11,364
1337,2018-02-01,//,1,17,545
1338,2018-02-19,//,1,17,527
1339,2018-02-26,//,1,17,520
1340,2018-02-26,//,1,17,520
1341,2018-05-23,2019-01-04,0,7,226
1342,2018-06-18,2019-07-31,1,13,408
1343,2018-06-25,2018-11-09,0,4,137
1344,2018-07-02,//,1,12,394
1345,2018-07-02,//,1,12,394
1346,2018-08-08,//,1,11,357
1347,2018-09-03,2018-12-21,0,3,109
1348,2018-10-26,//,1,9,278
1349,2018-11-19,2019-07-05,0,7,228
1350,2018-12-01,//,1,7,242
1351,2018-12-26,//,1,7,217
1352,2019-01-01,//,0,6,211
1353,2019-01-07,2019-05-17,0,4,130
1354,2019-01-14,2019-03-14,0,2,59
1355,2019-02-13,//,0,5,168
1356,2019-02-21,2019-02-21,0,0,0
1357,2019-04-01,//,0,3,121
1358,2019-04-29,//,0,3,93
1359,2019-05-01,//,0,2,91
1360,2019-06-07,//,0,1,54
1361,2019-06-24,//,0,1,37
1362,2019-07-09,//,0,0,22
1363,2011-09-01,2014-09-19,3,36,1114
1364,2011-10-01,2016-09-30,4,59,1826
1365,2012-01-06,2012-07-13,0,6,189
1366,2013-03-06,2015-03-05,1,23,729
1367,2013-03-18,//,6,76,2326
1368,2014-06-23,2014-08-23,0,2,61
1369,2014-06-24,2014-06-26,0,0,2
1370,2014-06-24,2014-08-23,0,1,60
1371,2014-06-25,2014-08-09,0,1,45
1372,2014-07-01,2014-08-14,0,1,44
1373,2014-07-01,2014-07-09,0,0,8
1374,2014-07-11,2014-08-23,0,1,43
1375,2015-10-01,//,4,45,1399
1376,2015-12-01,2016-09-30,0,9,304
1377,2015-12-01,2018-12-31,3,36,1126
1378,2015-12-21,2016-09-23,0,9,277
1379,2016-01-18,2016-10-25,0,9,281
1380,2016-01-21,2017-01-20,0,11,365
1381,2016-03-02,2016-09-23,0,6,205
1382,2012-05-29,2018-11-30,6,78,2376
1383,2016-07-28,2016-11-30,0,4,125
1384,2006-05-08,//,13,158,4832
1385,2013-10-01,2018-04-30,4,54,1672
1386,2006-10-12,//,13,153,4675
1387,2012-05-29,//,7,86,2619
1388,2009-08-21,2017-12-22,8,100,3045
1389,2010-07-21,//,9,108,3297
1390,2011-12-01,//,8,91,2799
1391,2014-03-24,//,5,64,1955
1392,2016-08-29,2017-08-28,0,11,364
1393,2016-10-10,2017-10-09,0,11,364
1394,2016-10-26,2018-10-25,1,23,729
1395,2017-01-02,2019-01-01,1,23,729
1396,2017-08-24,//,2,23,706
1397,2017-10-11,2017-12-31,0,2,81
1398,2018-02-05,//,1,17,541
1399,2019-03-01,//,0,4,152
1400,2019-03-18,2019-03-27,0,0,9
1401,2019-05-01,//,0,2,91
1402,2019-05-01,//,0,2,91
1403,2019-06-19,//,0,1,42
1404,2008-01-09,2010-01-11,2,24,733
1405,2008-01-09,2012-10-20,4,57,1746
1406,2008-01-09,2011-02-15,3,37,1133
1407,2008-01-09,2009-09-29,1,20,629
1408,2008-01-09,2009-01-07,0,11,364
1409,2008-01-09,2009-09-29,1,20,629
1410,2008-01-09,2009-10-06,1,20,636
1411,2008-01-09,2009-07-08,1,17,546
1412,2008-01-09,2011-03-08,3,37,1154
1413,2008-01-09,2009-07-08,1,17,546
1414,2008-01-09,2009-01-12,1,12,369
1415,2008-01-09,2011-03-11,3,38,1157
1416,2008-01-09,2009-07-08,1,17,546
1417,2008-01-09,2010-01-11,2,24,733
1418,2008-01-09,2009-07-28,1,18,566
1419,2008-01-09,2011-02-28,3,37,1146
1420,2008-01-09,2009-01-07,0,11,364
1421,2008-01-09,2009-01-07,0,11,364
1422,2008-01-09,2011-01-11,3,36,1098
1423,2008-01-09,2009-01-07,0,11,364
1424,2008-01-09,2009-01-10,1,12,367
1425,2008-01-09,2008-12-31,0,11,357
1426,2008-01-09,2011-03-08,3,37,1154
1427,2008-01-09,2011-01-17,3,36,1104
1428,2009-01-06,2011-11-07,2,34,1035
1429,2009-01-06,2010-01-11,1,12,370
1430,2009-01-06,2011-01-17,2,24,741
1431,2009-01-06,2011-01-07,2,24,731
1432,2009-01-06,2011-01-07,2,24,731
1433,2009-01-06,2011-11-07,2,34,1035
1434,2009-02-16,2011-04-18,2,26,791
1435,2009-02-16,2011-02-15,1,23,729
1436,2009-02-16,2011-02-28,2,24,742
1437,2007-06-18,2009-06-11,1,23,724
1438,2007-09-11,2010-05-19,2,32,981
1439,2007-09-11,2010-12-31,3,39,1207
1440,2007-09-27,2011-05-20,3,43,1331
1441,2007-10-27,2008-10-31,1,12,370
1442,2007-11-10,2011-01-01,3,37,1148
1443,2008-01-01,2009-01-10,1,12,375
1444,2008-06-16,2009-06-16,1,12,365
1445,2008-02-21,2009-02-28,1,12,373
1446,2008-06-12,2009-01-29,0,7,231
1447,2008-06-16,2009-06-30,1,12,379
1448,2008-06-18,2009-01-29,0,7,225
1449,2008-06-23,2009-01-27,0,7,218
1450,2008-09-20,2009-05-31,0,8,253
1451,2008-09-20,2009-04-13,0,6,205
1452,2008-11-18,2010-03-31,1,16,498
1453,2008-12-09,2011-05-20,2,29,892
1454,2008-12-15,2008-12-31,0,0,16
1455,2008-12-15,2008-12-31,0,0,16
1456,2008-12-15,2009-06-30,0,6,197
1457,2008-12-15,2009-12-31,1,12,381
1458,2008-12-15,2009-12-31,1,12,381
1459,2008-12-15,2009-12-31,1,12,381
1460,2009-01-13,2009-01-31,0,0,18
1461,2009-01-14,2009-04-23,0,3,99
1462,2009-01-14,2009-12-31,0,11,351
1463,2009-02-08,2009-02-12,0,0,4
1464,2009-05-31,2009-07-31,0,2,61
1465,2009-01-11,2010-05-19,1,16,493
1466,2008-11-01,2010-12-31,2,25,790
1467,2010-01-01,2010-02-08,0,1,38
1468,2010-02-26,2010-03-05,0,0,7
1469,2009-12-10,2010-01-31,0,1,52
1470,2010-03-08,2010-05-30,0,2,83
1471,2010-03-08,2010-05-22,0,2,75
1472,2010-03-08,2010-04-24,0,1,47
1473,2010-04-01,2011-05-20,1,13,414
1474,2010-02-01,2010-02-28,0,0,27
1475,2010-02-24,2010-06-09,0,3,105
1476,2009-09-21,2010-06-18,0,8,270
1477,2010-02-17,2010-03-31,0,1,42
1478,2009-11-23,2011-05-20,1,17,543
1479,2009-12-01,2010-06-08,0,6,189
1480,2008-06-16,2011-05-20,2,35,1068
1481,2010-04-07,2011-01-31,0,9,299
1482,2010-10-05,2011-01-01,0,2,88
1483,2010-10-01,2011-01-31,0,3,122
1484,2010-10-18,2010-12-04,0,1,47
1485,2010-10-18,2010-12-06,0,1,49
1486,2010-10-18,2010-11-08,0,0,21
1487,2010-11-02,2010-11-05,0,0,3
1488,2010-11-02,2010-11-03,0,0,1
1489,2010-11-03,2010-11-05,0,0,2
1490,2010-11-03,2010-11-05,0,0,2
1491,2010-11-03,2010-11-05,0,0,2
1492,2010-11-09,2010-12-04,0,0,25
1493,2010-12-10,2010-12-18,0,0,8
