직원id,입사일,퇴사일,근속연수(연),근속연수(월),근속연수(일)
253,2008-12-01,//,11,127,3894
254,2008-12-01,2010-11-12,1,23,711
255,2008-12-01,2009-10-01,0,10,304
256,2008-12-01,//,11,127,3894
257,2008-12-01,2012-06-15,3,42,1292
258,2008-12-01,//,11,127,3894
259,2008-12-01,2011-01-19,2,25,779
260,2008-12-01,2010-06-30,1,18,576
261,2008-12-15,2015-11-10,6,82,2521
262,2009-01-12,2016-07-31,7,90,2757
263,2009-01-19,2009-04-30,0,3,101
264,2009-02-09,//,10,125,3824
265,2009-02-23,2015-06-30,6,76,2318
266,2009-03-21,2011-01-11,1,21,661
267,2009-03-21,2010-08-20,1,16,517
268,2009-03-21,2011-01-11,1,21,661
269,2009-04-13,2009-07-17,0,3,95
270,2009-04-13,//,10,123,3761
271,2009-06-01,2011-12-31,2,30,943
272,2009-07-01,2015-11-30,6,76,2343
273,2009-07-13,2012-11-06,3,39,1212
274,2009-07-15,2009-10-31,0,3,108
275,2009-07-21,2009-12-14,0,4,146
276,2009-07-15,2011-03-20,1,20,613
277,2009-08-21,2009-08-22,0,0,1
278,2009-08-27,//,10,119,3625
279,2009-09-14,2014-12-31,5,63,1934
280,2009-09-07,2013-06-20,3,45,1382
281,2009-10-06,2010-03-10,0,5,155
282,2009-10-13,2015-03-19,5,65,1983
283,2009-08-21,2015-05-31,5,69,2109
284,2009-10-26,2013-03-31,3,41,1252
285,2009-11-02,2012-10-31,2,35,1094
286,2009-11-09,2010-08-31,0,9,295
287,2009-11-09,2011-11-24,2,24,745
288,2009-11-16,2012-09-12,2,33,1031
289,2009-12-01,2013-01-31,3,37,1157
290,2009-12-01,2013-12-06,4,48,1466
291,2009-12-21,2013-02-15,3,37,1152
292,2009-12-15,2011-04-30,1,16,501
293,2009-12-15,2010-07-09,0,6,206
294,2009-12-28,2010-06-20,0,5,174
295,2009-12-29,2014-10-22,4,57,1758
296,2010-01-04,2014-04-18,4,51,1565
297,2010-02-01,2011-07-08,1,17,522
298,2010-02-17,2016-07-31,6,77,2356
299,2010-02-22,2010-03-25,0,1,31
300,2010-02-22,2014-08-31,4,54,1651
301,2010-03-02,2011-11-20,1,20,628
302,2010-03-02,2018-02-14,7,95,2906
303,2010-03-02,//,9,112,3438
304,2010-03-02,2013-09-06,3,42,1284
305,2010-03-02,//,9,112,3438
306,2010-03-02,2010-06-30,0,3,120
307,2010-03-02,2013-09-17,3,42,1295
308,2010-03-02,2011-03-10,1,12,373
