id,duration
234,5421532
235,13143167
236,3894675
237,15888696
238,3255386
239,1149702
240,1276909
241,11073677
242,2850694
243,3605437
244,2587680
245,1298250
246,1276580
247,1375012
248,1276580
249,2917879
250,3036497
251,632014
252,11550577
253,10847961
254,16846354
255,15758052
256,11741388
257,4353238
258,5541159
259,4820860
260,14811287
261,6324176
262,6476772
263,14943562
264,5591569.021
265,5898194
266,15178798
267,14934908
268,15767369
269,4659973
270,10447099
271,15290182
272,1274544
273,1149702
274,662216
275,15309813
276,15242367
277,15168480
278,3876152
279,16140835
280,5998790
281,4995877
282,5128687
283,5591569.021
284,3876152
285,10627531
286,15763716
287,14907231
288,806067
289,3557362
290,3557362
291,1149702
292,15647347
293,14650531
294,1125700
295,903214
296,765807
297,980635
298,3876152
299,14507680
300,1617715
301,1370425
302,1272057
303,1272057
304,5825926
305,6804799
306,2685591
307,3732643
308,5591569.021
309,1269556
310,3560729
311,3521377
312,15864547
313,5821216
314,14305566
315,11815055
316,5086117
317,1267030
318,1316406
319,1266749
320,5591569.021
321,4538833
322,1182336
323,4953417
324,1266562
325,1266562
326,1039800
327,2915207
328,1170069
329,5801379
330,15837261
331,816536
332,4794635
333,1568052
334,15367460
335,2831529
336,2848639
337,1151056
338,1118326
339,11427185
340,15092414
341,16513508
342,1114699
343,3564319
344,1265900
345,805906
346,5019331
347,1819561
348,915452
349,1265900
350,622460
351,763565
352,763565
353,1504973
354,2341874
355,1149242
356,15453240
357,15302171
358,1041765
359,3008318
360,600903
361,2207479
362,16850971
363,869875
364,15362246
365,1963438
366,9830964
367,16530989
368,5591569.021
369,16525493
370,3079089
371,3315441
372,1265900
373,3025216
374,1265900
375,16007383
376,14814170
377,12359625
378,15926658
379,6345972
380,15847542
381,3059827
382,27668913
383,5469106
384,15685108
385,16413633
386,15719638
387,16298187
388,16067416
389,15706597
390,2205737
391,5018602
392,3662550
393,15273866
394,7816507
395,14576182
396,16032384
397,15330898
398,15680465
399,877860
400,8155098
401,13308724
402,1141929
403,16137588
404,1102293
405,1180176
406,1265900
407,3059098
408,14751319
409,1141929
410,15786136
411,16037273
412,15766614
413,3059098
414,3059098
415,6535275
416,1265900
417,1218941
418,10510793
419,14587333
420,5403402
421,1132813
422,859182
423,12843908
424,1036949
425,16089973
426,2245193
427,3058227
428,3058227
429,11346979
430,15319532
431,16781696
432,3022683
433,3492385
434,1541900
435,15019948
436,15505960
437,5289632
438,1265900
439,3362704
440,15078138
441,1308383
442,2879898
443,5591569.021
444,3100508
445,757755
446,15437550
447,2815450
448,15685887
449,1265900
450,3799403
451,1089775
452,2831726
453,3873869
454,5081369
455,1361513
456,6351480
457,16356844
458,1265900
459,3478286
460,2723217
461,4410810
462,15124702
463,16090061
464,1139629
465,908555
466,1265900
467,1265900
468,2571743
469,1098541
470,904074
471,771633
472,1141554
473,2848074
474,2877949
475,7019406
476,5079907
477,5554687
478,2831327
479,4463258
480,1265900
481,16324096
482,1537325
483,2831249
484,5744813
485,8167371
486,784493
487,16424498
488,5472291
489,11969667
490,1265900
491,771897
492,12497921
493,2878539
494,15875857
495,11438454
496,3875279
497,2878539
498,1265900
499,16051825
500,4569899
501,3875279
502,13543569
503,13543744
504,772080
505,5441142
506,4742367
507,12643423
508,4969884
509,1515819
510,1175280
511,16554078
512,5075886
513,5549885
514,3550291
515,5549869
516,1265900
517,3239708
518,1265900
519,5075886
520,6841066
521,5591569.021
522,15052742
523,16333487
524,3879191
525,1265900
526,1265900
527,5548582
528,15722031
529,1141554
530,15922879
531,15532233
532,3872970
533,15750698
534,1265900
535,3569210
536,11637166
537,5548227
538,1365134
539,757755
540,14744267
541,5546655
542,1265900
543,16974888
544,1141554
545,15528593
546,1265900
547,13741602
548,2830109
549,3551308
550,1265900
551,16339343
552,14338307
553,3851671
554,4984675
555,2904044
556,3545024
557,3852412
558,16068608
559,1110945
560,3227442
561,3853564
562,1265900
563,1456923
564,3254196
565,15365603
566,1265900
567,1265900
568,1265900
569,2915462
570,1265900
571,1265900
572,1265900
573,16240587
574,1265900
