id,gender,gender_text
1277,1,male
1278,1,male
1279,1,male
1280,1,male
1281,1,male
1282,1,male
1283,1,male
1284,1,male
1285,1,male
1286,1,male
1287,1,male
1288,1,male
1289,1,male
1290,1,male
1291,1,male
1292,1,male
1293,1,male
1294,1,male
1295,1,male
1296,1,male
1297,1,male
1298,1,male
1299,1,male
1300,1,male
1301,1,male
1302,1,male
1303,1,male
1304,1,male
1305,1,male
1306,1,male
1307,1,male
1308,1,male
1309,1,male
1310,0,female
1311,1,male
1312,1,male
1313,0,female
1314,1,male
1315,1,male
1316,1,male
1317,1,male
1318,1,male
1319,1,male
1320,1,male
1321,1,male
1322,1,male
1323,1,male
1324,1,male
1325,1,male
1326,1,male
1327,1,male
1328,1,male
1329,1,male
1330,1,male
1331,1,male
1332,1,male
1333,1,male
1334,1,male
1335,1,male
1336,1,male
1337,1,male
1338,1,male
1339,1,male
1340,1,male
1341,1,male
1342,1,male
1343,1,male
1344,1,male
1345,1,male
1346,1,male
1347,1,male
1348,0,female
1349,1,male
1350,1,male
1351,1,male
1352,1,male
1353,1,male
1354,1,male
1355,1,male
1356,0,female
1357,1,male
1358,1,male
1359,1,male
1360,1,male
1361,1,male
1362,1,male
1363,1,male
1364,1,male
1365,0,female
1366,0,female
1367,1,male
1368,1,male
1369,1,male
1370,1,male
1371,1,male
1372,1,male
1373,1,male
1374,1,male
1375,1,male
1376,1,male
1377,1,male
1378,0,female
1379,0,female
1380,0,female
1381,0,female
1382,1,male
1383,1,male
1384,1,male
1385,1,male
1386,1,male
1387,1,male
1388,1,male
1389,1,male
1390,0,female
1391,0,female
1392,0,female
1393,0,female
1394,0,female
1395,0,female
1396,0,female
1397,0,female
1398,1,male
1399,1,male
1400,0,female
1401,0,female
1402,0,female
1403,0,female
1404,1,male
1405,1,male
1406,1,male
1407,1,male
1408,1,male
1409,1,male
1410,1,male
1411,1,male
1412,1,male
1413,1,male
1414,1,male
1415,0,female
1416,1,male
1417,1,male
1418,1,male
1419,0,female
1420,1,male
1421,1,male
1422,1,male
1423,1,male
1424,0,female
1425,1,male
1426,1,male
1427,0,female
1428,1,male
1429,1,male
1430,1,male
1431,1,male
1432,1,male
1433,1,male
1434,1,male
1435,1,male
1436,1,male
1437,1,male
1438,1,male
1439,1,male
1440,1,male
1441,1,male
1442,1,male
1443,1,male
1444,0,female
1445,1,male
1446,1,male
1447,1,male
1448,0,female
1449,1,male
1450,1,male
1451,1,male
1452,1,male
1453,1,male
1454,1,male
1455,1,male
1456,1,male
1457,1,male
1458,1,male
1459,1,male
1460,1,male
1461,1,male
1462,1,male
1463,1,male
1464,0,female
1465,1,male
1466,1,male
1467,1,male
1468,0,female
1469,1,male
1470,1,male
1471,1,male
1472,1,male
1473,1,male
1474,1,male
1475,1,male
1476,0,female
1477,1,male
1478,1,male
1479,1,male
1480,1,male
1481,1,male
1482,1,male
1483,1,male
1484,1,male
1485,1,male
1486,1,male
1487,1,male
1488,1,male
1489,1,male
1490,1,male
1491,1,male
1492,1,male
1493,1,male
