,id,retirement,courier_count,lang_count,age,area,child_count,club_count,club,gender,honey_YN,religion_YN,religion,begin_date,retired_date,working_year,working_month,working_day,position_number,department,main_dep,school_grade,certificate,duration,univ_duration,re_class,re_class2,re_class3
66,67,1,0.0,0.0,55,Metropolitan,1.0,0.0,0.0,1,1.0,No,No,2006-09-11,2012-08-31,5,71,2181,1.0,Production_support,0.0,0,0.0,4.409470555555555,16338153.0,0,3,2
68,69,1,0.0,0.0,32,Kyongnam,1.0,1.0,1.0,1,1.0,No,No,2006-09-18,2012-02-16,5,64,1977,4.0,Sales,1.0,0,0.0,0.4548038888888889,1500537.0,0,3,2
69,70,1,0.0,0.0,37,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,2006-10-09,2010-10-05,3,47,1457,3.0,Sales,1.0,0,0.0,0.24636916666666667,766062.0,0,1,1
70,71,1,1.0,1.0,36,Kyongnam,1.0,0.0,0.0,1,1.0,No,No,2006-10-12,2014-04-18,7,90,2745,4.0,Design,1.0,0,0.0,0.21653055555555556,2852152.0,0,3,2
71,72,1,1.0,1.0,44,Metropolitan,1.0,0.0,0.0,1,1.0,No,No,2006-10-12,2015-05-31,8,103,3153,2.0,Sales,1.0,0,0.0,4.360972777777778,5591569.021000001,1,3,2
73,74,1,0.0,0.0,37,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2006-10-12,2012-09-30,5,71,2180,4.0,Production_Management,1.0,0,0.0,0.9081644444444444,3084053.0,0,3,2
74,75,0,0.0,0.0,39,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,2006-10-12,//,13,153,4675,3.0,Quality_Management,1.0,0,1.0,0.3557283333333333,2923010.0,1,3,2
79,80,1,0.0,0.0,29,Metropolitan,0.0,0.0,0.0,1,0.0,No,No,2006-11-20,2010-07-30,3,44,1348,6.0,Design,1.0,0,0.0,3.992976111111111,14747106.0,0,1,1
80,81,1,0.0,0.0,32,Metropolitan,0.0,0.0,0.0,1,0.0,No,No,2006-11-20,2011-11-04,4,59,1810,4.0,Sales,1.0,0,0.0,4.215355555555556,15323061.0,0,2,2
82,83,1,0.0,0.0,32,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,2007-01-02,2010-05-02,3,40,1216,6.0,Warranty,0.0,0,0.0,0.23796444444444445,821834.0,0,1,1
83,84,0,0.0,1.0,38,Kyongnam,1.0,1.0,1.0,1,1.0,Yes,Buddism,2007-01-08,//,12,150,4587,3.0,Purchasing,0.0,0,0.0,0.21676722222222222,2851684.0,1,3,2
84,85,0,0.0,1.0,38,Kyongnam,1.0,1.0,1.0,1,1.0,No,No,2007-01-08,//,12,150,4587,3.0,Design,1.0,1,0.0,0.5298061111111111,16160282.0,1,3,2
85,86,1,0.0,1.0,29,Kyongnam,0.0,0.0,0.0,0,0.0,Yes,Buddism,2007-01-08,2012-12-31,5,71,2184,4.0,Design,1.0,0,0.0,0.19338777777777777,3732078.0,0,3,2
86,87,1,0.0,0.0,31,Kyongnam,0.0,0.0,0.0,1,1.0,No,No,2007-01-08,2010-09-20,3,44,1351,6.0,Production_Management,1.0,0,0.0,0.2129736111111111,719291.0,0,1,1
87,88,1,0.0,1.0,37,Kyongnam,2.0,0.0,0.0,1,1.0,Yes,Buddism,2007-01-08,2016-10-03,9,116,3556,4.0,Production_Management,1.0,0,0.0,0.4594561111111111,2851649.0,1,3,2
88,89,0,0.0,1.0,38,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2007-01-08,//,12,150,4587,3.0,Production_Management,1.0,0,0.0,0.39126055555555556,1267979.0,1,3,2
89,90,1,1.0,1.0,40,Kyongnam,1.0,2.0,1.0,1,1.0,No,No,2007-01-08,2014-04-23,7,87,2662,3.0,Business_management,1.0,1,0.0,0.7857980555555556,3012002.0,0,3,2
90,91,0,1.0,0.0,40,Kyongnam,1.0,0.0,0.0,1,1.0,Yes,Buddism,2007-01-08,//,12,150,4587,3.0,Warranty,0.0,0,1.0,0.20943305555555555,2864304.0,1,3,2
92,93,1,0.0,0.0,33,Kyongnam,0.0,0.0,0.0,1,1.0,No,No,2007-01-15,2012-10-12,5,68,2097,4.0,Design,1.0,0,0.0,0.32178833333333334,1145015.0,0,3,2
93,94,0,0.0,1.0,39,Kyongnam,1.0,0.0,0.0,1,1.0,Yes,Buddism,2007-01-17,//,12,150,4578,3.0,Production_Management,1.0,0,0.0,0.27098055555555556,1267979.0,1,3,2
94,95,1,0.0,0.0,27,Kyongnam,0.0,0.0,0.0,0,0.0,No,No,2007-01-17,2010-12-31,3,47,1444,6.0,Design,1.0,0,0.0,0.7722405555555556,2610993.0,0,1,1
95,96,1,0.0,0.0,32,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2007-02-21,2010-10-20,3,43,1337,6.0,Warranty,0.0,0,0.0,0.9835966666666667,3440376.0,0,1,1
96,97,1,0.0,0.0,36,Kyongnam,1.0,0.0,0.0,1,1.0,No,No,2007-03-02,2010-05-06,3,38,1161,4.0,Research,0.0,0,0.0,0.39135194444444443,1352711.0,0,1,1
97,98,1,0.0,0.0,41,Metropolitan,0.0,0.0,0.0,1,0.0,No,No,2007-03-14,2009-04-02,2,24,750,4.0,Business_management,1.0,0,0.0,4.169646666666667,15256286.0,0,1,1
98,99,1,0.0,1.0,36,Metropolitan,1.0,1.0,1.0,1,1.0,No,No,2007-03-26,2016-07-13,9,111,3397,3.0,Design,1.0,0,0.0,4.017564722222223,12128417.0,1,3,2
99,100,1,0.0,0.0,35,Kyongnam,0.0,2.0,1.0,1,0.0,No,No,2007-04-01,2012-02-01,4,58,1767,4.0,Production_Management,1.0,0,0.0,1.1654375,4123945.0,0,2,2
100,101,1,4.0,0.0,44,Kyongnam,1.0,2.0,1.0,1,1.0,Yes,Buddism,2007-04-16,2016-07-31,9,111,3394,1.0,Production_Management,1.0,0,1.0,0.23266305555555555,1149702.0,1,3,2
101,102,1,1.0,0.0,61,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,2008-04-21,2013-04-20,4,59,1825,3.0,Production_support,0.0,0,0.0,0.31208833333333336,868803.0,0,2,2
107,108,1,0.0,0.0,39,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,2007-07-01,2012-10-24,5,63,1942,2.0,Production_Management,1.0,0,0.0,0.2800988888888889,923988.0,0,3,2
108,109,1,0.0,0.0,31,Kyongnam,1.0,0.0,0.0,1,1.0,No,No,2007-07-01,2010-07-20,3,36,1115,6.0,Shipping,0.0,0,0.0,1.0520186111111112,3460492.0,0,1,1
109,110,1,0.0,0.0,31,Kyongnam,1.0,0.0,0.0,1,1.0,No,No,2007-07-09,2009-11-11,2,28,856,4.0,Technology,1.0,0,0.0,0.40045722222222224,1376138.0,0,1,1
110,111,1,2.0,0.0,43,Metropolitan,0.0,0.0,0.0,1,0.0,Yes,Buddism,2007-07-11,2017-02-28,9,115,3520,2.0,Business_Support,0.0,0,0.0,3.924975277777778,14575338.0,1,3,2
